scheduler,benchmark,ipc
lrr,backprop,702.0930
lrr,bfs,9.9197
lrr,hotspot,634.7473
lrr,kmeans,46.4602
lrr,lud,3.1421
lrr,nw,4.2413
lrr,pathfinder,33.8825
lrr,srad_v2,365.1326
lrr,streamcluster,17.3566
gto,backprop,722.4822
gto,bfs,9.9331
gto,hotspot,643.9332
gto,kmeans,46.2751
gto,lud,3.1418
gto,nw,4.2413
gto,pathfinder,34.0228
gto,srad_v2,366.1394
gto,streamcluster,17.5640
two_level_rr:8,backprop,719.2573
two_level_rr:8,bfs,9.9520
two_level_rr:8,hotspot,644.3610
two_level_rr:8,kmeans,45.9136
two_level_rr:8,lud,3.1428
two_level_rr:8,nw,4.2413
two_level_rr:8,pathfinder,34.0326
two_level_rr:8,srad_v2,365.8073
two_level_rr:8,streamcluster,17.5933
lwm:64,backprop,713.5244
lwm:64,bfs,9.9269
lwm:64,hotspot,641.6331
lwm:64,kmeans,46.4729
lwm:64,lud,3.1428
lwm:64,nw,4.2413
lwm:64,pathfinder,33.8543
lwm:64,srad_v2,366.3982
lwm:64,streamcluster,17.5548
lwm:256,backprop,722.0339
lwm:256,bfs,9.9407
lwm:256,hotspot,641.6331
lwm:256,kmeans,46.4729
lwm:256,lud,3.1428
lwm:256,nw,4.2413
lwm:256,pathfinder,33.8543
lwm:256,srad_v2,366.3982
lwm:256,streamcluster,17.5504
lwm_two_level:64,backprop,717.5818
lwm_two_level:64,bfs,9.9269
lwm_two_level:64,hotspot,641.6331
lwm_two_level:64,kmeans,46.4729
lwm_two_level:64,lud,3.1428
lwm_two_level:64,nw,4.2413
lwm_two_level:64,pathfinder,33.8543
lwm_two_level:64,srad_v2,366.3982
lwm_two_level:64,streamcluster,17.5548
lwm_two_level:256,backprop,722.0339
lwm_two_level:256,bfs,9.9407
lwm_two_level:256,hotspot,641.6331
lwm_two_level:256,kmeans,46.4729
lwm_two_level:256,lud,3.1428
lwm_two_level:256,nw,4.2413
lwm_two_level:256,pathfinder,33.8543
lwm_two_level:256,srad_v2,366.3982
lwm_two_level:256,streamcluster,17.5504
lwm_two_level_adaptive:64,backprop,717.4835
lwm_two_level_adaptive:64,bfs,9.9474
lwm_two_level_adaptive:64,hotspot,641.6331
lwm_two_level_adaptive:64,kmeans,46.4729
lwm_two_level_adaptive:64,lud,3.1428
lwm_two_level_adaptive:64,nw,4.2413
lwm_two_level_adaptive:64,pathfinder,33.8543
lwm_two_level_adaptive:64,srad_v2,366.3982
lwm_two_level_adaptive:64,streamcluster,17.5661
lwm_two_level_adaptive:256,backprop,722.0339
lwm_two_level_adaptive:256,bfs,9.9407
lwm_two_level_adaptive:256,hotspot,641.6331
lwm_two_level_adaptive:256,kmeans,46.4729
lwm_two_level_adaptive:256,lud,3.1428
lwm_two_level_adaptive:256,nw,4.2413
lwm_two_level_adaptive:256,pathfinder,33.8543
lwm_two_level_adaptive:256,srad_v2,366.3982
lwm_two_level_adaptive:256,streamcluster,17.5504
